address,latitude,longitude,bounds,geo_address
Tỉnh Gia Lai,13.773701,108.237752,"12.995729,107.4517 – 14.603162,108.873318","Gia Lai, Vietnam"
Tỉnh Kon Tum,14.517883,107.858387,"13.921423,107.332274 – 15.417533,108.546889","Kon Tum, Vietnam"
Tỉnh Quảng Trị,16.667698,107.006703,"16.301578,106.516237 – 17.166514,107.389289","Quảng Trị, Vietnam"
Tỉnh Quảng Bình,17.462758,106.252214,"16.921375,105.607849 – 18.089951,106.994205","Quảng Bình, Vietnam"
Thành phố Huế,16.463712,107.590863,"16.399085,107.525118 – 16.507696,107.629108","Huế, Hue City, Vietnam"
Tỉnh Nghệ An,19.148371,104.845462,"18.552117,103.874957 – 19.994248,105.806701","Nghe An, Vietnam"
Tỉnh Quảng Nam,15.598002,107.858387,"14.951354,107.210525 – 16.067075,108.739043","Quảng Nam, Vietnam"
Tỉnh Trà Vinh,9.762666,106.440587,"9.52957,105.954726 – 10.081762,106.607011","Tra Vinh, Vietnam"
Tỉnh Bạc Liêu,9.289943,105.500548,"9.014727,105.23248 – 9.637453,105.860139","Bac Lieu, Vietnam"
Tỉnh Kiên Giang,9.824959,105.125896,"9.254282,103.456825 – 10.539558,105.539526","Kien Giang, Vietnam"
Tỉnh Lâm Đồng,11.575279,108.142867,"11.215165,107.265751 – 12.317439,108.73195","Lam Dong, Vietnam"
Tỉnh Bình Phước,11.751189,106.723464,"11.301407,106.411722 – 12.298437,107.427652","Binh Phuoc, Vietnam"
Tỉnh Bà Rịa - Vũng Tàu,10.54174,107.242998,"8.628084,106.536388 – 10.803912,107.573272","Ba Ria - Vung Tau, Vietnam"
Tỉnh Yên Bái,21.683525,104.565527,"21.32592,103.886237 – 22.291865,105.100332","Yên Bái, Vietnam"
Tỉnh Bắc Giang,21.301495,106.62913,"21.121951,105.880567 – 21.626274,107.033472","Bac Giang, Vietnam"
Tỉnh Sơn La,21.172464,104.007235,"20.573004,103.211996 – 22.0284,105.025308","Son La, Vietnam"
Tỉnh Lai Châu,22.355483,103.266348,"21.684461,102.320669 – 22.811256,103.985314","Lai Chau, Vietnam"
Tỉnh Cao Bằng,22.635689,106.252214,"22.356923,105.271542 – 23.118125,106.837373","Cao Bang, Vietnam"
Tỉnh Lào Cai,22.275944,104.193092,"21.875113,103.530412 – 22.844861,104.628655","Lao Cai, Vietnam"
Tỉnh Điện Biên,21.809171,103.08179,"20.892692,102.144018 – 22.54805,103.598795","Dien Bien, Vietnam"
Tỉnh Bắc Kạn,22.303292,105.876004,"21.804335,105.431119 – 22.739601,106.247003","Bắc Kạn, Vietnam"
Tỉnh Nam Định,20.27918,106.205148,"19.88846,105.92405 – 20.499194,106.591923","Nam Dinh, Vietnam"
Tỉnh Bắc Ninh,21.121444,106.11105,"20.969118,105.90247 – 21.264298,106.31193","Bac Ninh, Vietnam"
Tỉnh Vĩnh Phúc,21.360881,105.547437,"21.154104,105.322481 – 21.573842,105.792899","Vĩnh Phúc, Vietnam"
Tỉnh Phú Thọ,21.260668,105.125896,"20.917027,104.815401 – 21.719645,105.456822","Phú Thọ, Vietnam"
Tỉnh Thái Bình,20.538694,106.393478,"20.244052,106.10967 – 20.728989,106.656427","Thai Binh, Vietnam"
