districtName,districtCode,provinceName,provinceCode
Thị xã An Nhơn,549,Tỉnh Bình Định,52
Thị xã Hoài Nhơn,543,Tỉnh Bình Định,52
Huyện Hoà Bình,961,Tỉnh Bạc Liêu,95
Huyện Hồng Dân,956,Tỉnh Bạc Liêu,95
Huyện Phước Long,957,Tỉnh Bạc Liêu,95
Huyện Vĩnh Lợi,958,Tỉnh Bạc Liêu,95
Huyện Đông Hải,960,Tỉnh Bạc Liêu,95
Thành phố Bạc Liêu,954,Tỉnh Bạc Liêu,95
Thị xã Giá Rai,959,Tỉnh Bạc Liêu,95
Huyện Hiệp Hòa,223,Tỉnh Bắc Giang,24
Huyện Lạng Giang,217,Tỉnh Bắc Giang,24
Huyện Lục Nam,218,Tỉnh Bắc Giang,24
Huyện Lục Ngạn,219,Tỉnh Bắc Giang,24
Huyện Sơn Động,220,Tỉnh Bắc Giang,24
Huyện Tân Yên,216,Tỉnh Bắc Giang,24
Huyện Yên Thế,215,Tỉnh Bắc Giang,24
Thành phố Bắc Giang,213,Tỉnh Bắc Giang,24
Thị xã Chũ,224,Tỉnh Bắc Giang,24
Thị xã Việt Yên,222,Tỉnh Bắc Giang,24
Huyện Gia Bình,263,Tỉnh Bắc Ninh,27
Huyện Lương Tài,264,Tỉnh Bắc Ninh,27
Huyện Tiên Du,260,Tỉnh Bắc Ninh,27
Huyện Yên Phong,258,Tỉnh Bắc Ninh,27
Thành phố Bắc Ninh,256,Tỉnh Bắc Ninh,27
Thành phố Từ Sơn,261,Tỉnh Bắc Ninh,27
Thị xã Quế Võ,259,Tỉnh Bắc Ninh,27
Thị xã Thuận Thành,262,Tỉnh Bắc Ninh,27
Huyện Ba Tri,836,Tỉnh Bến Tre,83
Huyện Bình Đại,835,Tỉnh Bến Tre,83
Huyện Châu Thành,831,Tỉnh Bến Tre,83
Huyện Chợ Lách,832,Tỉnh Bến Tre,83
Huyện Giồng Trôm,834,Tỉnh Bến Tre,83
Huyện Mỏ Cày Bắc,838,Tỉnh Bến Tre,83
Huyện Mỏ Cày Nam,833,Tỉnh Bến Tre,83
Huyện Thạnh Phú,837,Tỉnh Bến Tre,83
Thành phố Bến Tre,829,Tỉnh Bến Tre,83
Huyện Cái Nước,969,Tỉnh Cà Mau,96
Huyện Ngọc Hiển,973,Tỉnh Cà Mau,96
Huyện Năm Căn,971,Tỉnh Cà Mau,96
Huyện Phú Tân,972,Tỉnh Cà Mau,96
Huyện Thới Bình,967,Tỉnh Cà Mau,96
Huyện Trần Văn Thời,968,Tỉnh Cà Mau,96
Huyện U Minh,966,Tỉnh Cà Mau,96
Huyện Đầm Dơi,970,Tỉnh Cà Mau,96
Thành phố Cà Mau,964,Tỉnh Cà Mau,96
Huyện Chư Prông,632,Tỉnh Gia Lai,64
Huyện Chư Păh,627,Tỉnh Gia Lai,64
Huyện Chư Pưh,639,Tỉnh Gia Lai,64
Huyện Chư Sê,633,Tỉnh Gia Lai,64
Huyện Ia Grai,628,Tỉnh Gia Lai,64
Huyện Ia Pa,635,Tỉnh Gia Lai,64
Huyện KBang,625,Tỉnh Gia Lai,64
Huyện Krông Pa,637,Tỉnh Gia Lai,64
Huyện Kông Chro,630,Tỉnh Gia Lai,64
Huyện Mang Yang,629,Tỉnh Gia Lai,64
Huyện Phú Thiện,638,Tỉnh Gia Lai,64
Huyện Đăk Pơ,634,Tỉnh Gia Lai,64
Huyện Đăk Đoa,626,Tỉnh Gia Lai,64
Huyện Đức Cơ,631,Tỉnh Gia Lai,64
Thành phố Pleiku,622,Tỉnh Gia Lai,64
Thị xã An Khê,623,Tỉnh Gia Lai,64
Thị xã Ayun Pa,624,Tỉnh Gia Lai,64
Huyện Cao Phong,154,Tỉnh Hoà Bình,17
Huyện Kim Bôi,153,Tỉnh Hoà Bình,17
Huyện Lương Sơn,152,Tỉnh Hoà Bình,17
Huyện Lạc Sơn,157,Tỉnh Hoà Bình,17
Huyện Lạc Thủy,159,Tỉnh Hoà Bình,17
Huyện Mai Châu,156,Tỉnh Hoà Bình,17
Huyện Tân Lạc,155,Tỉnh Hoà Bình,17
Huyện Yên Thủy,158,Tỉnh Hoà Bình,17
Huyện Đà Bắc,150,Tỉnh Hoà Bình,17
Thành phố Hòa Bình,148,Tỉnh Hoà Bình,17
Huyện Bình Lục,352,Tỉnh Hà Nam,35
Huyện Lý Nhân,353,Tỉnh Hà Nam,35
Huyện Thanh Liêm,351,Tỉnh Hà Nam,35
Thành phố Phủ Lý,347,Tỉnh Hà Nam,35
Thị xã Duy Tiên,349,Tỉnh Hà Nam,35
Thị xã Kim Bảng,350,Tỉnh Hà Nam,35
Huyện Can Lộc,443,Tỉnh Hà Tĩnh,42
Huyện Cẩm Xuyên,446,Tỉnh Hà Tĩnh,42
Huyện Hương Khê,444,Tỉnh Hà Tĩnh,42
Huyện Hương Sơn,439,Tỉnh Hà Tĩnh,42
Huyện Kỳ Anh,447,Tỉnh Hà Tĩnh,42
Huyện Nghi Xuân,442,Tỉnh Hà Tĩnh,42
Huyện Thạch Hà,445,Tỉnh Hà Tĩnh,42
Huyện Vũ Quang,441,Tỉnh Hà Tĩnh,42
Huyện Đức Thọ,440,Tỉnh Hà Tĩnh,42
Thành phố Hà Tĩnh,436,Tỉnh Hà Tĩnh,42
Thị xã Hồng Lĩnh,437,Tỉnh Hà Tĩnh,42
Thị xã Kỳ Anh,449,Tỉnh Hà Tĩnh,42
Huyện Khoái Châu,330,Tỉnh Hưng Yên,33
Huyện Kim Động,331,Tỉnh Hưng Yên,33
Huyện Phù Cừ,333,Tỉnh Hưng Yên,33
Huyện Tiên Lữ,332,Tỉnh Hưng Yên,33
Huyện Văn Giang,326,Tỉnh Hưng Yên,33
Huyện Văn Lâm,325,Tỉnh Hưng Yên,33
Huyện Yên Mỹ,327,Tỉnh Hưng Yên,33
Huyện Ân Thi,329,Tỉnh Hưng Yên,33
Thành phố Hưng Yên,323,Tỉnh Hưng Yên,33
Thị xã Mỹ Hào,328,Tỉnh Hưng Yên,33
Huyện Bình Giang,296,Tỉnh Hải Dương,30
Huyện Cẩm Giàng,295,Tỉnh Hải Dương,30
Huyện Gia Lộc,297,Tỉnh Hải Dương,30
Huyện Kim Thành,293,Tỉnh Hải Dương,30
Huyện Nam Sách,291,Tỉnh Hải Dương,30
Huyện Ninh Giang,299,Tỉnh Hải Dương,30
Huyện Thanh Hà,294,Tỉnh Hải Dương,30
Huyện Thanh Miện,300,Tỉnh Hải Dương,30
Huyện Tứ Kỳ,298,Tỉnh Hải Dương,30
Thành phố Chí Linh,290,Tỉnh Hải Dương,30
Thành phố Hải Dương,288,Tỉnh Hải Dương,30
Thị xã Kinh Môn,292,Tỉnh Hải Dương,30
Huyện Châu Thành,933,Tỉnh Hậu Giang,93
Huyện Châu Thành A,932,Tỉnh Hậu Giang,93
Huyện Long Mỹ,936,Tỉnh Hậu Giang,93
Huyện Phụng Hiệp,934,Tỉnh Hậu Giang,93
Huyện Vị Thuỷ,935,Tỉnh Hậu Giang,93
Thành phố Ngã Bảy,931,Tỉnh Hậu Giang,93
Thành phố Vị Thanh,930,Tỉnh Hậu Giang,93
Thị xã Long Mỹ,937,Tỉnh Hậu Giang,93
Huyện Cam Lâm,570,Tỉnh Khánh Hòa,56
Huyện Diên Khánh,574,Tỉnh Khánh Hòa,56
Huyện Khánh Sơn,575,Tỉnh Khánh Hòa,56
Huyện Khánh Vĩnh,573,Tỉnh Khánh Hòa,56
Huyện Trường Sa,576,Tỉnh Khánh Hòa,56
Huyện Vạn Ninh,571,Tỉnh Khánh Hòa,56
Thành phố Cam Ranh,569,Tỉnh Khánh Hòa,56
Thành phố Nha Trang,568,Tỉnh Khánh Hòa,56
Thị xã Ninh Hòa,572,Tỉnh Khánh Hòa,56
Huyện An Biên,908,Tỉnh Kiên Giang,91
Huyện An Minh,909,Tỉnh Kiên Giang,91
Huyện Châu Thành,905,Tỉnh Kiên Giang,91
Huyện Giang Thành,914,Tỉnh Kiên Giang,91
Huyện Giồng Riềng,906,Tỉnh Kiên Giang,91
Huyện Gò Quao,907,Tỉnh Kiên Giang,91
Huyện Hòn Đất,903,Tỉnh Kiên Giang,91
Huyện Kiên Hải,912,Tỉnh Kiên Giang,91
Huyện Kiên Lương,902,Tỉnh Kiên Giang,91
Huyện Tân Hiệp,904,Tỉnh Kiên Giang,91
Huyện U Minh Thượng,913,Tỉnh Kiên Giang,91
Huyện Vĩnh Thuận,910,Tỉnh Kiên Giang,91
Thành phố Hà Tiên,900,Tỉnh Kiên Giang,91
Thành phố Phú Quốc,911,Tỉnh Kiên Giang,91
Thành phố Rạch Giá,899,Tỉnh Kiên Giang,91
Huyện Ia H' Drai,618,Tỉnh Kon Tum,62
Huyện Kon Plông,613,Tỉnh Kon Tum,62
Huyện Kon Rẫy,614,Tỉnh Kon Tum,62
Huyện Ngọc Hồi,611,Tỉnh Kon Tum,62
Huyện Sa Thầy,616,Tỉnh Kon Tum,62
Huyện Tu Mơ Rông,617,Tỉnh Kon Tum,62
Huyện Đắk Glei,610,Tỉnh Kon Tum,62
Huyện Đắk Hà,615,Tỉnh Kon Tum,62
Huyện Đắk Tô,612,Tỉnh Kon Tum,62
Thành phố Kon Tum,608,Tỉnh Kon Tum,62
Huyện Mường Tè,107,Tỉnh Lai Châu,12
Huyện Nậm Nhùn,112,Tỉnh Lai Châu,12
Huyện Phong Thổ,109,Tỉnh Lai Châu,12
Huyện Sìn Hồ,108,Tỉnh Lai Châu,12
Huyện Tam Đường,106,Tỉnh Lai Châu,12
Huyện Than Uyên,110,Tỉnh Lai Châu,12
Huyện Tân Uyên,111,Tỉnh Lai Châu,12
Thành phố Lai Châu,105,Tỉnh Lai Châu,12
Huyện Bến Lức,803,Tỉnh Long An,80
Huyện Châu Thành,808,Tỉnh Long An,80
Huyện Cần Giuộc,807,Tỉnh Long An,80
Huyện Cần Đước,806,Tỉnh Long An,80
Huyện Mộc Hóa,798,Tỉnh Long An,80
Huyện Thạnh Hóa,800,Tỉnh Long An,80
Huyện Thủ Thừa,804,Tỉnh Long An,80
Huyện Tân Hưng,796,Tỉnh Long An,80
Huyện Tân Thạnh,799,Tỉnh Long An,80
Huyện Tân Trụ,805,Tỉnh Long An,80
Huyện Vĩnh Hưng,797,Tỉnh Long An,80
Huyện Đức Huệ,801,Tỉnh Long An,80
Huyện Đức Hòa,802,Tỉnh Long An,80
Thành phố Tân An,794,Tỉnh Long An,80
Thị xã Kiến Tường,795,Tỉnh Long An,80
Huyện Bát Xát,082,Tỉnh Lào Cai,10
Huyện Bảo Thắng,086,Tỉnh Lào Cai,10
Huyện Bảo Yên,087,Tỉnh Lào Cai,10
Huyện Bắc Hà,085,Tỉnh Lào Cai,10
Huyện Mường Khương,083,Tỉnh Lào Cai,10
Huyện Si Ma Cai,084,Tỉnh Lào Cai,10
Huyện Văn Bàn,089,Tỉnh Lào Cai,10
Thành phố Lào Cai,080,Tỉnh Lào Cai,10
Thị xã Sa Pa,088,Tỉnh Lào Cai,10
Huyện Bảo Lâm,680,Tỉnh Lâm Đồng,68
Huyện Di Linh,679,Tỉnh Lâm Đồng,68
Huyện Lâm Hà,676,Tỉnh Lâm Đồng,68
Huyện Lạc Dương,675,Tỉnh Lâm Đồng,68
Huyện Đam Rông,674,Tỉnh Lâm Đồng,68
Huyện Đơn Dương,677,Tỉnh Lâm Đồng,68
Huyện Đạ Huoai,682,Tỉnh Lâm Đồng,68
Huyện Đức Trọng,678,Tỉnh Lâm Đồng,68
Thành phố Bảo Lộc,673,Tỉnh Lâm Đồng,68
Thành phố Đà Lạt,672,Tỉnh Lâm Đồng,68
Huyện Bình Gia,181,Tỉnh Lạng Sơn,20
Huyện Bắc Sơn,185,Tỉnh Lạng Sơn,20
Huyện Cao Lộc,183,Tỉnh Lạng Sơn,20
Huyện Chi Lăng,187,Tỉnh Lạng Sơn,20
Huyện Hữu Lũng,186,Tỉnh Lạng Sơn,20
Huyện Lộc Bình,188,Tỉnh Lạng Sơn,20
Huyện Tràng Định,180,Tỉnh Lạng Sơn,20
Huyện Văn Lãng,182,Tỉnh Lạng Sơn,20
Huyện Văn Quan,184,Tỉnh Lạng Sơn,20
Huyện Đình Lập,189,Tỉnh Lạng Sơn,20
Thành phố Lạng Sơn,178,Tỉnh Lạng Sơn,20
Huyện Giao Thủy,365,Tỉnh Nam Định,36
Huyện Hải Hậu,366,Tỉnh Nam Định,36
Huyện Nam Trực,362,Tỉnh Nam Định,36
Huyện Nghĩa Hưng,361,Tỉnh Nam Định,36
Huyện Trực Ninh,363,Tỉnh Nam Định,36
Huyện Vụ Bản,359,Tỉnh Nam Định,36
Huyện Xuân Trường,364,Tỉnh Nam Định,36
Huyện Ý Yên,360,Tỉnh Nam Định,36
Thành phố Nam Định,356,Tỉnh Nam Định,36
Huyện Anh Sơn,424,Tỉnh Nghệ An,40
Huyện Con Cuông,422,Tỉnh Nghệ An,40
Huyện Diễn Châu,425,Tỉnh Nghệ An,40
Huyện Hưng Nguyên,431,Tỉnh Nghệ An,40
Huyện Kỳ Sơn,417,Tỉnh Nghệ An,40
Huyện Nam Đàn,430,Tỉnh Nghệ An,40
Huyện Nghi Lộc,429,Tỉnh Nghệ An,40
Huyện Nghĩa Đàn,419,Tỉnh Nghệ An,40
Huyện Quế Phong,415,Tỉnh Nghệ An,40
Huyện Quỳ Châu,416,Tỉnh Nghệ An,40
Huyện Quỳ Hợp,420,Tỉnh Nghệ An,40
Huyện Quỳnh Lưu,421,Tỉnh Nghệ An,40
Huyện Thanh Chương,428,Tỉnh Nghệ An,40
Huyện Tân Kỳ,423,Tỉnh Nghệ An,40
Huyện Tương Dương,418,Tỉnh Nghệ An,40
Huyện Yên Thành,426,Tỉnh Nghệ An,40
Huyện Đô Lương,427,Tỉnh Nghệ An,40
Thành phố Vinh,412,Tỉnh Nghệ An,40
Thị xã Hoàng Mai,432,Tỉnh Nghệ An,40
Thị xã Thái Hoà,414,Tỉnh Nghệ An,40
Huyện Gia Viễn,373,Tỉnh Ninh Bình,37
Huyện Kim Sơn,376,Tỉnh Ninh Bình,37
Huyện Nho Quan,372,Tỉnh Ninh Bình,37
Huyện Yên Khánh,375,Tỉnh Ninh Bình,37
Huyện Yên Mô,377,Tỉnh Ninh Bình,37
Thành phố Hoa Lư,374,Tỉnh Ninh Bình,37
Thành phố Tam Điệp,370,Tỉnh Ninh Bình,37
Huyện Bác Ái,584,Tỉnh Ninh Thuận,58
Huyện Ninh Hải,586,Tỉnh Ninh Thuận,58
Huyện Ninh Phước,587,Tỉnh Ninh Thuận,58
Huyện Ninh Sơn,585,Tỉnh Ninh Thuận,58
Huyện Thuận Bắc,588,Tỉnh Ninh Thuận,58
Huyện Thuận Nam,589,Tỉnh Ninh Thuận,58
Thành phố Phan Rang-Tháp Chàm,582,Tỉnh Ninh Thuận,58
Huyện Cẩm Khê,235,Tỉnh Phú Thọ,25
Huyện Hạ Hoà,231,Tỉnh Phú Thọ,25
Huyện Lâm Thao,237,Tỉnh Phú Thọ,25
Huyện Phù Ninh,233,Tỉnh Phú Thọ,25
Huyện Tam Nông,236,Tỉnh Phú Thọ,25
Huyện Thanh Ba,232,Tỉnh Phú Thọ,25
Huyện Thanh Sơn,238,Tỉnh Phú Thọ,25
Huyện Thanh Thuỷ,239,Tỉnh Phú Thọ,25
Huyện Tân Sơn,240,Tỉnh Phú Thọ,25
Huyện Yên Lập,234,Tỉnh Phú Thọ,25
Huyện Đoan Hùng,230,Tỉnh Phú Thọ,25
Thành phố Việt Trì,227,Tỉnh Phú Thọ,25
Thị xã Phú Thọ,228,Tỉnh Phú Thọ,25
Huyện Phú Hoà,563,Tỉnh Phú Yên,54
Huyện Sông Hinh,561,Tỉnh Phú Yên,54
Huyện Sơn Hòa,560,Tỉnh Phú Yên,54
Huyện Tuy An,559,Tỉnh Phú Yên,54
Huyện Tây Hoà,562,Tỉnh Phú Yên,54
Huyện Đồng Xuân,558,Tỉnh Phú Yên,54
Thành phố Tuy Hoà,555,Tỉnh Phú Yên,54
Thị xã Sông Cầu,557,Tỉnh Phú Yên,54
Thị xã Đông Hòa,564,Tỉnh Phú Yên,54
Huyện Bố Trạch,455,Tỉnh Quảng Bình,44
Huyện Lệ Thủy,457,Tỉnh Quảng Bình,44
Huyện Minh Hóa,452,Tỉnh Quảng Bình,44
Huyện Quảng Ninh,456,Tỉnh Quảng Bình,44
Huyện Quảng Trạch,454,Tỉnh Quảng Bình,44
Huyện Tuyên Hóa,453,Tỉnh Quảng Bình,44
Thành phố Đồng Hới,450,Tỉnh Quảng Bình,44
Thị xã Ba Đồn,458,Tỉnh Quảng Bình,44
Huyện Bắc Trà My,515,Tỉnh Quảng Nam,49
Huyện Duy Xuyên,508,Tỉnh Quảng Nam,49
Huyện Hiệp Đức,512,Tỉnh Quảng Nam,49
Huyện Nam Giang,510,Tỉnh Quảng Nam,49
Huyện Nam Trà My,516,Tỉnh Quảng Nam,49
Huyện Núi Thành,517,Tỉnh Quảng Nam,49
Huyện Phú Ninh,518,Tỉnh Quảng Nam,49
Huyện Phước Sơn,511,Tỉnh Quảng Nam,49
Huyện Quế Sơn,509,Tỉnh Quảng Nam,49
Huyện Thăng Bình,513,Tỉnh Quảng Nam,49
Huyện Tiên Phước,514,Tỉnh Quảng Nam,49
Huyện Tây Giang,504,Tỉnh Quảng Nam,49
Huyện Đông Giang,505,Tỉnh Quảng Nam,49
Huyện Đại Lộc,506,Tỉnh Quảng Nam,49
Thành phố Hội An,503,Tỉnh Quảng Nam,49
Thành phố Tam Kỳ,502,Tỉnh Quảng Nam,49
Thị xã Điện Bàn,507,Tỉnh Quảng Nam,49
Huyện Ba Tơ,535,Tỉnh Quảng Ngãi,51
Huyện Bình Sơn,524,Tỉnh Quảng Ngãi,51
Huyện Lý Sơn,536,Tỉnh Quảng Ngãi,51
Huyện Minh Long,531,Tỉnh Quảng Ngãi,51
Huyện Mộ Đức,533,Tỉnh Quảng Ngãi,51
Huyện Nghĩa Hành,532,Tỉnh Quảng Ngãi,51
Huyện Sơn Hà,529,Tỉnh Quảng Ngãi,51
Huyện Sơn Tây,530,Tỉnh Quảng Ngãi,51
Huyện Sơn Tịnh,527,Tỉnh Quảng Ngãi,51
Huyện Trà Bồng,525,Tỉnh Quảng Ngãi,51
Huyện Tư Nghĩa,528,Tỉnh Quảng Ngãi,51
Thành phố Quảng Ngãi,522,Tỉnh Quảng Ngãi,51
Thị xã Đức Phổ,534,Tỉnh Quảng Ngãi,51
Huyện Ba Chẽ,202,Tỉnh Quảng Ninh,22
Huyện Bình Liêu,198,Tỉnh Quảng Ninh,22
Huyện Cô Tô,207,Tỉnh Quảng Ninh,22
Huyện Hải Hà,201,Tỉnh Quảng Ninh,22
Huyện Tiên Yên,199,Tỉnh Quảng Ninh,22
Huyện Vân Đồn,203,Tỉnh Quảng Ninh,22
Huyện Đầm Hà,200,Tỉnh Quảng Ninh,22
Thành phố Cẩm Phả,195,Tỉnh Quảng Ninh,22
Thành phố Hạ Long,193,Tỉnh Quảng Ninh,22
Thành phố Móng Cái,194,Tỉnh Quảng Ninh,22
Thành phố Uông Bí,196,Tỉnh Quảng Ninh,22
Thành phố Đông Triều,205,Tỉnh Quảng Ninh,22
Thị xã Quảng Yên,206,Tỉnh Quảng Ninh,22
Huyện Cam Lộ,468,Tỉnh Quảng Trị,45
Huyện Cồn Cỏ,471,Tỉnh Quảng Trị,45
Huyện Gio Linh,466,Tỉnh Quảng Trị,45
Huyện Hướng Hóa,465,Tỉnh Quảng Trị,45
Huyện Hải Lăng,470,Tỉnh Quảng Trị,45
Huyện Triệu Phong,469,Tỉnh Quảng Trị,45
Huyện Vĩnh Linh,464,Tỉnh Quảng Trị,45
Huyện Đa Krông,467,Tỉnh Quảng Trị,45
Thành phố Đông Hà,461,Tỉnh Quảng Trị,45
Thị xã Quảng Trị,462,Tỉnh Quảng Trị,45
Huyện Châu Thành,942,Tỉnh Sóc Trăng,94
Huyện Cù Lao Dung,945,Tỉnh Sóc Trăng,94
Huyện Kế Sách,943,Tỉnh Sóc Trăng,94
Huyện Long Phú,946,Tỉnh Sóc Trăng,94
Huyện Mỹ Tú,944,Tỉnh Sóc Trăng,94
Huyện Mỹ Xuyên,947,Tỉnh Sóc Trăng,94
Huyện Thạnh Trị,949,Tỉnh Sóc Trăng,94
Huyện Trần Đề,951,Tỉnh Sóc Trăng,94
Thành phố Sóc Trăng,941,Tỉnh Sóc Trăng,94
Thị xã Ngã Năm,948,Tỉnh Sóc Trăng,94
Thị xã Vĩnh Châu,950,Tỉnh Sóc Trăng,94
Huyện Bắc Yên,121,Tỉnh Sơn La,14
Huyện Mai Sơn,125,Tỉnh Sơn La,14
