province,district,ward,wardLat,wardLon,wardBounds,wardFormattedAddress
Thành phố Hà Nội,Huyện Mê Linh,Xã Thạch Đà,21.17205,105.673513,"21.146313,105.664873 – 21.192655,105.705385","Thạch Đà, Mê Linh, Hà Nội, Vietnam"
Thành phố Hà Nội,Huyện Mê Linh,Xã Tiến Thịnh,21.175372,105.63832,"21.155118,105.624404 – 21.195455,105.64893","Tiến Thịnh, Mê Linh, Hà Nội, Vietnam"
Thành phố Hà Nội,Huyện Mê Linh,Xã Tiền Phong,21.160532,105.76446,"21.131702,105.744267 – 21.18001,105.772505","Tiền Phong, Mê Linh, Hà Nội, Vietnam"
Thành phố Hà Nội,Huyện Mê Linh,Xã Văn Khê,21.166098,105.705779,"21.132503,105.693069 – 21.188733,105.728173","Văn Khê, Mê Linh, Hà Nội, Vietnam"
Thành phố Hà Nội,Huyện Mê Linh,Xã Đại Thịnh,21.185003,105.720448,"21.168725,105.700965 – 21.204178,105.75521","Đại Thịnh, Mê Linh, Hà Nội, Vietnam"
Thành phố Hà Nội,Huyện Mỹ Đức,Xã Đồng Tâm,20.806753,105.673513,"20.78986,105.648823 – 20.815575,105.698862","Đồng Tâm, Mỹ Đức, Hanoi, Vietnam"
Thành phố Hà Nội,Huyện Quốc Oai,Thị trấn Quốc Oai,20.995037,105.644185,"20.982518,105.627322 – 21.009883,105.664916","tt. Quốc Oai, Quốc Oai, Hà Nội, Vietnam"
Thành phố Hà Nội,Huyện Quốc Oai,Xã Ngọc Liệp,20.993625,105.597271,"20.984174,105.579129 – 21.010774,105.616852","Ngọc Liệp, Quốc Oai, Hanoi, Vietnam"
Thành phố Hà Nội,Huyện Quốc Oai,Xã Ngọc Mỹ,20.991433,105.620726,"20.968989,105.611384 – 21.007371,105.634724","Ngọc Mỹ, Quốc Oai, Hanoi, Vietnam"
Thành phố Hà Nội,Huyện Quốc Oai,Xã Phú Cát,20.971621,105.553299,"20.954787,105.526857 – 20.990972,105.582647","Phú Cát, Quốc Oai, Hà Nội, Vietnam"
Thành phố Hà Nội,Huyện Quốc Oai,Xã Phượng Sơn,21.007485,105.66174,"20.98104,105.635165 – 21.024461,105.677341","Phượng Sơn, Quốc Oai, Hanoi, Vietnam"
Thành phố Hà Nội,Huyện Sóc Sơn,Xã Mai Đình,21.229566,105.816045,"21.198016,105.807266 – 21.252102,105.854816","Mai Đình, Sóc Sơn, Hà Nội, Vietnam"
Thành phố Hà Nội,Huyện Sóc Sơn,Xã Phú Minh,21.202434,105.811418,"21.184132,105.802846 – 21.220231,105.838263","Phú Minh, Sóc Sơn, Hà Nội, Vietnam"
Thành phố Hà Nội,Huyện Sóc Sơn,Xã Quang Tiến,21.251423,105.814353,"21.21478,105.780187 – 21.287935,105.826278","Quang Tien, Soc Son, Hanoi, Vietnam"
Thành phố Hà Nội,Huyện Thanh Oai,Xã Cự Khê,20.920772,105.779834,"20.89917,105.76876 – 20.940278,105.799702","Cự Khê, Thanh Oai, Hanoi, Vietnam"
Thành phố Hà Nội,Huyện Thanh Oai,Xã Kim Thư,20.838549,105.767394,"20.831645,105.752214 – 20.846951,105.78185","Kim Thư, Thanh Oai, Hà Nội, Vietnam"
Thành phố Hà Nội,Huyện Thanh Trì,Thị trấn Văn Điển,20.949358,105.844442,"20.939146,105.833241 – 20.958123,105.847769","Văn Điển, Thanh Trì, Hà Nội, Vietnam"
Thành phố Hà Nội,Huyện Thanh Trì,Xã Duyên Hà,20.925974,105.884813,"20.913943,105.86576 – 20.936671,105.891788","Duyên Hà, Thanh Trì, Hà Nội, Vietnam"
Thành phố Hà Nội,Huyện Thanh Trì,Xã Hữu Hòa,20.945903,105.796742,"20.933945,105.787954 – 20.957993,105.808597","Hữu Hoà, Thanh Trì, Hà Nội, Vietnam"
Thành phố Hà Nội,Huyện Thanh Trì,Xã Liên Ninh,20.906138,105.84958,"20.895461,105.839882 – 20.922562,105.868249","Liên Ninh, Thanh Trì, Hà Nội, Vietnam"
Thành phố Hà Nội,Huyện Thanh Trì,Xã Ngũ Hiệp,20.928202,105.861323,"20.917851,105.845482 – 20.937813,105.870413","Ngũ Hiệp, Thanh Trì, Hà Nội, Vietnam"
Thành phố Hà Nội,Huyện Thanh Trì,Xã Tam Hiệp,20.948923,105.826094,"20.941842,105.81645 – 20.958714,105.843873","Tam Hiệp, Thanh Trì, Hà Nội, Vietnam"
Thành phố Hà Nội,Huyện Thanh Trì,Xã Thanh Liệt,20.96742,105.814353,"20.950018,105.801473 – 20.974383,105.824904","Thanh Liệt, Thanh Trì, Hà Nội, Vietnam"
Thành phố Hà Nội,Huyện Thanh Trì,Xã Tân Triều,20.971205,105.801053,"20.958815,105.790079 – 20.987767,105.809069","Tân Triều, Thanh Trì, Hà Nội, Vietnam"
Thành phố Hà Nội,Huyện Thanh Trì,Xã Tả Thanh Oai,20.933203,105.808482,"20.909313,105.789456 – 20.960859,105.821085","Tả Thanh Oai, Thanh Trì, Hanoi, Vietnam"
Thành phố Hà Nội,Huyện Thanh Trì,Xã Tứ Hiệp,20.946142,105.855451,"20.931941,105.844238 – 20.957532,105.866575","Tứ Hiệp, Thanh Trì, Hà Nội, Vietnam"
Thành phố Hà Nội,Huyện Thanh Trì,Xã Vĩnh Quỳnh,20.931538,105.826094,"20.918794,105.812416 – 20.945168,105.848723","Vĩnh Quỳnh, Thanh Trì, Hà Nội, Vietnam"
Thành phố Hà Nội,Huyện Thanh Trì,Xã Yên Mỹ,20.944471,105.873068,"20.928694,105.864344 – 20.955629,105.886874","Yên Mỹ, Thanh Trì, Hà Nội, Vietnam"
Thành phố Hà Nội,Huyện Thanh Trì,Xã Đông Mỹ,20.922191,105.872511,"20.906221,105.865867 – 20.92421,105.891187","Đông Mỹ, Thanh Trì, Hà Nội, Vietnam"
Thành phố Hà Nội,Huyện Thanh Trì,Xã Đại áng,20.911533,105.823159,"20.896985,105.80615 – 20.924947,105.83411","Đại Áng, Thanh Trì, Hà Nội, Vietnam"
Thành phố Hà Nội,Huyện Thường Tín,Xã Duyên Thái,20.898676,105.867195,"20.888535,105.85354 – 20.909082,105.879493","Duyên Thái, Thường Tín, Hà Nội, Vietnam"
Thành phố Hà Nội,Huyện Thường Tín,Xã Khánh Hà,20.890974,105.826094,"20.882521,105.812625 – 20.903409,105.837361","Khánh Hà, Thường Tín, Hà Nội, Vietnam"
Thành phố Hà Nội,Huyện Thường Tín,Xã Ninh Sở,20.897006,105.884813,"20.883142,105.8746 – 20.912239,105.899856","Ninh Sở, Hà Nội, Vietnam"
Thành phố Hà Nội,Huyện Thường Tín,Xã Tô Hiệu,20.803758,105.890686,"20.7901,105.872412 – 20.817019,105.901551","Tô Hiệu, Thường Tín, Hà Nội, Vietnam"
Thành phố Hà Nội,Huyện Thường Tín,Xã Vạn Nhất,20.794698,105.911424,"20.770212,105.896415 – 20.821703,105.922942","Vạn Nhất, Thường Tín, Hanoi, Vietnam"
Thành phố Hà Nội,Huyện Thạch Thất,Xã Bình Yên,21.042326,105.541576,"21.023788,105.512491 – 21.056191,105.566868","Bình Yên, Thạch Thất, Hanoi, Vietnam"
Thành phố Hà Nội,Huyện Thạch Thất,Xã Hạ Bằng,21.001666,105.557696,"20.997102,105.551491 – 21.005836,105.561104","Hạ Bằng, Thạch Thất, Hanoi, Vietnam"
Thành phố Hà Nội,Huyện Thạch Thất,Xã Quang Trung,21.023565,105.611546,"21.002336,105.593313 – 21.037268,105.627477","Quang Trung, Thạch Thất, Hanoi, Vietnam"
Thành phố Hà Nội,Huyện Thạch Thất,Xã Thạch Hòa,20.998611,105.522507,"20.971834,105.471038 – 21.039361,105.54971","Thạch Hòa, Thạch Thất, Hanoi, Vietnam"
Thành phố Hà Nội,Huyện Thạch Thất,Xã Tiến Xuân,20.966544,105.482968,"20.945088,105.441113 – 21.004394,105.504026","Tiến Xuân, Thạch Thất, Hà Nội, Vietnam"
Thành phố Hà Nội,Huyện Thạch Thất,Xã Tân Xã,21.02777,105.557696,"21.022262,105.551834 – 21.030914,105.563164","Tân Xã, Thạch Thất, Hà Nội, Vietnam"
Thành phố Hà Nội,Huyện Đan Phượng,Xã Hồng Hà,21.133525,105.682312,"21.113088,105.661054 – 21.148874,105.704141","Hồng Hà, Đan Phượng, Hà Nội, Vietnam"
Thành phố Hà Nội,Huyện Đan Phượng,Xã Liên Hà,21.110906,105.709081,"21.101177,105.704269 – 21.134384,105.730856","Liên Hà, Đan Phượng, Hà Nội, Vietnam"
Thành phố Hà Nội,Huyện Đan Phượng,Xã Liên Hồng,21.122333,105.708713,"21.110385,105.692596 – 21.140008,105.721972","Liên Hồng, Hà Nội, Vietnam"
Thành phố Hà Nội,Huyện Đan Phượng,Xã Liên Trung,21.108517,105.732183,"21.096602,105.71311 – 21.124247,105.741434","Liên Trung, Hà Nội, Vietnam"
Thành phố Hà Nội,Huyện Đan Phượng,Xã Thọ An,21.134221,105.644185,"21.114249,105.624125 – 21.154998,105.652814","Thọ An, Đan Phượng, Hà Nội, Vietnam"
Thành phố Hà Nội,Huyện Đan Phượng,Xã Thọ Xuân,21.12207,105.65005,"21.112047,105.638952 – 21.152156,105.664015","Thọ Xuân, Đan Phượng, Hà Nội, Vietnam"
Thành phố Hà Nội,Huyện Đan Phượng,Xã Trung Châu,21.126211,105.667647,"21.119313,105.656054 – 21.150895,105.676482","Trung Châu, Đan Phượng, Hà Nội, Vietnam"
Thành phố Hà Nội,Huyện Đan Phượng,Xã Tân Lập,21.081192,105.71458,"21.070805,105.696802 – 21.099795,105.727787","Tân Lập, Đan Phượng, Hà Nội, Vietnam"
Thành phố Hà Nội,Huyện Đông Anh,Thị trấn Đông Anh,21.161114,105.84958,"21.126058,105.832179 – 21.174688,105.862284","Đông Anh, Hanoi, Vietnam"
Thành phố Hà Nội,Huyện Đông Anh,Xã Dục Tú,21.113441,105.893622,"21.091708,105.878956 – 21.135925,105.921078","Dục Tú, Đông Anh, Hà Nội, Vietnam"
Thành phố Hà Nội,Huyện Đông Anh,Xã Hải Bối,21.11081,105.799677,"21.09397,105.783899 – 21.123276,105.8166","Hải Bối, Đông Anh, Hà Nội, Vietnam"
Thành phố Hà Nội,Huyện Đông Anh,Xã Kim Chung,21.124635,105.776198,"21.113428,105.76242 – 21.151916,105.789886","Kim Chung, Đông Anh, Hà Nội, Vietnam"
Thành phố Hà Nội,Huyện Đông Anh,Xã Kim Nỗ,21.137173,105.796742,"21.118632,105.785165 – 21.154277,105.809455","Kim Nỗ, Đông Anh, Hà Nội, Vietnam"
Thành phố Hà Nội,Huyện Đông Anh,Xã Liên Hà,21.148207,105.893622,"21.126018,105.880995 – 21.164243,105.910263","Liên Hà, Đông Anh, Hà Nội, Vietnam"
Thành phố Hà Nội,Huyện Đông Anh,Xã Nguyên Khê,21.179623,105.837837,"21.161241,105.815549 – 21.190464,105.859001","Nguyên Khê, Đông Anh, Hà Nội, Vietnam"
Thành phố Hà Nội,Huyện Đông Anh,Xã Tiên Dương,21.153823,105.834901,"21.126619,105.818639 – 21.168525,105.846105","Tiên Dương, Đông Anh, Hà Nội, Vietnam"
Thành phố Hà Nội,Huyện Đông Anh,Xã Tàm Xá,21.095867,105.834901,"21.079655,105.822072 – 21.114649,105.847907","Tàm Xá, Đông Anh, Hà Nội, Vietnam"
Thành phố Hà Nội,Huyện Đông Anh,Xã Uy Nỗ,21.143167,105.855451,"21.120574,105.844023 – 21.167004,105.874407","Uy Nỗ, Đông Anh, Hà Nội, Vietnam"
Thành phố Hà Nội,Huyện Đông Anh,Xã Việt Hùng,21.140921,105.87894,"21.117812,105.862863 – 21.162002,105.895393","Việt Hùng, Đông Anh, Hà Nội, Vietnam"
Thành phố Hà Nội,Huyện Đông Anh,Xã Vĩnh Ngọc,21.119664,105.815357,"21.091227,105.805979 – 21.130502,105.846191","Vĩnh Ngọc, Đông Anh, Hà Nội, Vietnam"
Thành phố Hà Nội,Huyện Đông Anh,Xã Xuân Canh,21.082904,105.847527,"21.072968,105.838294 – 21.118552,105.862455","Xuân Canh, Đông Anh, Hà Nội, Vietnam"
Thành phố Hà Nội,Huyện Đông Anh,Xã Xuân Nộn,21.185227,105.870132,"21.156959,105.849195 – 21.206759,105.89108","Xuân Nộn, Đông Anh, Hà Nội, Vietnam"
Thành phố Hà Nội,Huyện Đông Anh,Xã Đại Mạch,21.118372,105.7607,"21.098754,105.731864 – 21.137266,105.768299","Đại Mạch, Đông Anh, Hà Nội, Vietnam"
Thành phố Hà Nội,Quận Ba Đình,Phường Cống Vị,21.03528,105.809216,"21.031335,105.804777 – 21.037841,105.814554","Cống Vị, Ba Đình, Hà Nội, Vietnam"
Thành phố Hà Nội,Quận Ba Đình,Phường Kim Mã,21.031644,105.824627,"21.027719,105.816922 – 21.033638,105.831428","Kim Ma, Ba Đình, Hanoi, Vietnam"
Thành phố Hà Nội,Quận Ba Đình,Phường Ngọc Hà,21.037816,105.828296,"21.03523,105.820313 – 21.041989,105.836191","Ngọc Hà, Ba Đình, Hanoi, Vietnam"
Thành phố Hà Nội,Quận Ba Đình,Phường Ngọc Khánh,21.030139,105.80995,"21.024855,105.801269 – 21.034619,105.817759","Ngọc Khánh, Ba Đình, Hanoi, Vietnam"
Thành phố Hà Nội,Quận Ba Đình,Phường Thành Công,21.020889,105.81582,"21.016102,105.810555 – 21.024875,105.821005","Thành Công, Ba Đình, Hanoi, Vietnam"
Thành phố Hà Nội,Quận Ba Đình,Phường Điện Biên,21.033148,105.839304,"21.0282,105.830179 – 21.03916,105.844452","Điện Biên, Ba Đình, Hanoi, Vietnam"
Thành phố Hà Nội,Quận Ba Đình,Phường Đội Cấn,21.035336,105.823893,"21.032947,105.82013 – 21.037413,105.834121","Đội Cấn, Ba Đình, Hà Nội, Vietnam"
Thành phố Hà Nội,Quận Bắc Từ Liêm,Phường Cổ Nhuế 1,21.050608,105.790972,"21.043962,105.770796 – 21.064277,105.795127","Cổ Nhuế 1, Từ Liêm, Hanoi, Vietnam"
Thành phố Hà Nội,Quận Bắc Từ Liêm,Phường Cổ Nhuế 2,21.061721,105.776922,"21.054587,105.755253 – 21.074384,105.784532","Cổ Nhuế 2, Bac Tu Liem, Hanoi, Vietnam"
Thành phố Hà Nội,Quận Bắc Từ Liêm,Phường Minh Khai,21.057961,105.74632,"21.043434,105.732658 – 21.076812,105.761497","Minh Khai, Bac Tu Liem, Hanoi, Vietnam"
Thành phố Hà Nội,Quận Bắc Từ Liêm,Phường Phúc Diễn,21.04729,105.751255,"21.038064,105.742979 – 21.059712,105.761476","Phúc Diễn, Từ Liêm, Hanoi, Vietnam"
Thành phố Hà Nội,Quận Bắc Từ Liêm,Phường Thụy Phương,21.083304,105.768861,"21.069178,105.7586 – 21.097153,105.780573","Thụy Phương, Từ Liêm, Hanoi, Vietnam"
Thành phố Hà Nội,Quận Bắc Từ Liêm,Phường Tây Tựu,21.067934,105.732183,"21.055667,105.717058 – 21.082838,105.751395","Tay Tuu, Từ Liêm, Hanoi, Vietnam"
Thành phố Hà Nội,Quận Bắc Từ Liêm,Phường Xuân Tảo,21.063409,105.795274,"21.050571,105.785841 – 21.074973,105.804981","Xuân Tảo, Bắc Từ Liêm, Hà Nội, Vietnam"
Thành phố Hà Nội,Quận Bắc Từ Liêm,Phường Xuân Đỉnh,21.071604,105.79029,"21.062475,105.778768 – 21.084684,105.801347","Xuân Đỉnh, Bac Tu Liem, Hanoi, Vietnam"
Thành phố Hà Nội,Quận Bắc Từ Liêm,Phường Đông Ngạc,21.091917,105.785002,"21.081197,105.776818 – 21.097914,105.796001","Đông Ngạc, Hanoi, Vietnam"
Thành phố Hà Nội,Quận Cầu Giấy,Phường Dịch Vọng,21.034707,105.792339,"21.026307,105.787839 – 21.042327,105.798474","Dich Vong, Cầu Giấy, Hanoi, Vietnam"
Thành phố Hà Nội,Quận Cầu Giấy,Phường Dịch Vọng Hậu,21.033953,105.785002,"21.026237,105.779817 – 21.044558,105.790685","Dịch Vọng Hậu, Cầu Giấy, Hà Nội, Vietnam"
Thành phố Hà Nội,Quận Cầu Giấy,Phường Mai Dịch,21.039566,105.774071,"21.03093,105.767591 – 21.049563,105.781812","Mai Dịch, Cầu Giấy, Hanoi, Vietnam"
Thành phố Hà Nội,Quận Cầu Giấy,Phường Nghĩa Đô,21.045464,105.801145,"21.038016,105.794145 – 21.059271,105.809063","Nghĩa Đô, Cầu Giấy, Hà Nội, Vietnam"
Thành phố Hà Nội,Quận Cầu Giấy,Phường Quan Hoa,21.03677,105.801145,"21.029111,105.795121 – 21.041389,105.806451","Quan Hoa, Cầu Giấy, Hanoi, Vietnam"
Thành phố Hà Nội,Quận Cầu Giấy,Phường Trung Hòa,21.010153,105.798835,"21.000693,105.788571 – 21.017494,105.813478","Trung Hoà, Cầu Giấy, Hanoi, Vietnam"
Thành phố Hà Nội,Quận Cầu Giấy,Phường Yên Hòa,21.021804,105.790872,"21.01445,105.783239 – 21.030654,105.802841","Yen Hoa, Cầu Giấy, Hanoi, Vietnam"
Thành phố Hà Nội,Quận Hai Bà Trưng,Phường Bạch Đằng,21.013251,105.865727,"21.008265,105.858775 – 21.019848,105.870931","Bạch Đằng, Hai Bà Trưng District, Hanoi, Vietnam"
Thành phố Hà Nội,Quận Hai Bà Trưng,Phường Lê Đại Hành,21.012307,105.845176,"21.007679,105.841341 – 21.017294,105.851255","Le Dai Hanh, Hai Bà Trưng District, Hanoi, Vietnam"
Thành phố Hà Nội,Quận Hai Bà Trưng,Phường Minh Khai,20.99591,105.857653,"20.99262,105.850884 – 20.999026,105.862305","Minh Khai, Hai Bà Trưng District, Hanoi, Vietnam"
Thành phố Hà Nội,Quận Hai Bà Trưng,Phường Nguyễn Du,21.016951,105.849299,"21.013376,105.84073 – 21.021365,105.851477","Nguyen Du, Hai Bà Trưng District, Hanoi, Vietnam"
Thành phố Hà Nội,Quận Hai Bà Trưng,Phường Phạm Đình Hổ,21.016192,105.857653,"21.01142,105.851163 – 21.019137,105.861002","Pham Dinh Ho, Hai Bà Trưng District, Hanoi, Vietnam"
Thành phố Hà Nội,Quận Hai Bà Trưng,Phường Thanh Lương,21.006898,105.8716,"21.000721,105.86069 – 21.01151,105.883398","Thanh Lương, Hai Bà Trưng District, Hanoi, Vietnam"
Thành phố Hà Nội,Quận Hai Bà Trưng,Phường Thanh Nhàn,21.005396,105.856919,"21.00193,105.850906 – 21.009092,105.861533","Thanh Nhàn, Hai Bà Trưng District, Hanoi, Vietnam"
Thành phố Hà Nội,Quận Hai Bà Trưng,Phường Trương Định,20.993782,105.846688,"20.991032,105.844681 – 21.000107,105.852242","Trương Định, Hai Bà Trưng, Hà Nội, Vietnam"
Thành phố Hà Nội,Quận Hai Bà Trưng,Phường Vĩnh Tuy,20.998485,105.868664,"20.992294,105.8615 – 21.003508,105.878313","Vinh Tuy, Hai Bà Trưng District, Hanoi, Vietnam"
Thành phố Hà Nội,Quận Hai Bà Trưng,Phường Đồng Tâm,20.99676,105.843272,"20.991333,105.841148 – 21.005095,105.848637","Đồng Tâm, Hai Bà Trưng District, Hanoi, Vietnam"
Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Cửa Nam,21.025228,105.842607,"21.020339,105.840976 – 21.029352,105.845718","Cua Nam, Hoàn Kiếm, Hanoi, Vietnam"
Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Cửa Đông,21.032917,105.845543,"21.030033,105.843833 – 21.03523,105.847558","Cửa Đông, Hoàn Kiếm, Hà Nội, Vietnam"
Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Hàng Bông,21.028898,105.84591,"21.025922,105.842993 – 21.031475,105.847746","Hàng Bông, Hoàn Kiếm, Hà Nội, Vietnam"
Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Hàng Trống,21.028479,105.850314,"21.025211,105.847398 – 21.032008,105.853583","Hang Trong, Hoàn Kiếm, Hanoi, Vietnam"
Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Tràng Tiền,21.025163,105.854717,"21.022577,105.849495 – 21.027955,105.860127","Trang Tien, Hoàn Kiếm, Hanoi, Vietnam"
Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Đồng Xuân,21.039212,105.849835,"21.036662,105.847194 – 21.040793,105.852901","Dong Xuan, Hoàn Kiếm, Hanoi, Vietnam"
Thành phố Hà Nội,Quận Hoàng Mai,Phường Giáp Bát,20.983611,105.84224,"20.976477,105.836657 – 20.991493,105.845665","Giáp Bát, Hoàng Mai, Hà Nội, Vietnam"
Thành phố Hà Nội,Quận Hoàng Mai,Phường Hoàng Liệt,20.962532,105.839913,"20.95132,105.816836 – 20.97226,105.857885","Hoàng Liệt, Hoàng Mai, Hanoi, Vietnam"
Thành phố Hà Nội,Quận Hoàng Mai,Phường Hoàng Văn Thụ,20.984836,105.859855,"20.978791,105.850482 – 20.994037,105.869987","Hoàng Văn Thụ, Hoàng Mai, Hà Nội, Vietnam"
Thành phố Hà Nội,Quận Hoàng Mai,Phường Lĩnh Nam,20.977001,105.896559,"20.961079,105.869665 – 20.990972,105.909147","Lĩnh Nam, Hoàng Mai, Hà Nội, Vietnam"
Thành phố Hà Nội,Quận Hoàng Mai,Phường Mai Động,20.990867,105.864993,"20.986274,105.857713 – 20.996041,105.871478","Mai Động, Hoàng Mai, Hanoi, Vietnam"
Thành phố Hà Nội,Quận Hoàng Mai,Phường Thanh Trì,20.994941,105.890686,"20.986124,105.875888 – 21.003773,105.909029","Thanh Trì, Hoàng Mai, Hà Nội, Vietnam"
Thành phố Hà Nội,Quận Hoàng Mai,Phường Thịnh Liệt,20.975114,105.855451,"20.964586,105.838251 – 20.985423,105.860846","Thinh Liet, Hoàng Mai, Hanoi, Vietnam"
Thành phố Hà Nội,Quận Hoàng Mai,Phường Trần Phú,20.972324,105.884813,"20.955468,105.870867 – 20.981516,105.897131","Trần Phú, Hoàng Mai, Hà Nội, Vietnam"
Thành phố Hà Nội,Quận Hoàng Mai,Phường Tân Mai,20.983687,105.848156,"20.977925,105.845268 – 20.987526,105.853787","Tân Mai, Hoàng Mai, Hà Nội, Vietnam"
Thành phố Hà Nội,Quận Hoàng Mai,Phường Tương Mai,20.98857,105.851048,"20.980474,105.842908 – 20.994358,105.856125","Tương Mai, Hoàng Mai, Hanoi, Vietnam"
